benchmark,step,status,n_problems,n_samples,acc_base,acc_now,mean_conf_all,mean_conf_wrong_now,mean_conf_wrong_base,conf_wrong_delta
amc24,30,gained,1,2,0.0,0.5,0.5,0.0,1.0,-1.0
amc24,30,regressed,4,8,0.5,0.0,0.725,0.725,0.495,0.22999999999999998
amc24,30,retained,23,46,0.8043478260869565,0.8260869565217391,0.9271739130434784,0.625,0.75,-0.125
amc24,30,still_wrong,17,34,0.0,0.0,0.6805882352941177,0.6805882352941177,0.7005882352941176,-0.019999999999999907
amc24,40,gained,2,4,0.0,0.5,0.9750000000000001,0.975,0.9750000000000001,-1.1102230246251565e-16
amc24,40,regressed,2,4,0.5,0.0,0.7375,0.7375,0.5,0.23750000000000004
amc24,40,retained,25,50,0.78,0.84,0.9510000000000001,0.7375,0.7027272727272726,0.0347727272727274
amc24,40,still_wrong,16,32,0.0,0.0,0.6656249999999999,0.6656249999999999,0.685,-0.019375000000000142
amc24,50,gained,3,6,0.0,0.5,0.8083333333333335,0.65,0.9666666666666668,-0.31666666666666676
amc24,50,regressed,4,8,0.5,0.0,0.71875,0.71875,0.725,-0.006249999999999978
amc24,50,retained,23,46,0.8043478260869565,0.8260869565217391,0.9069565217391304,0.49375,0.6477777777777778,-0.15402777777777776
amc24,50,still_wrong,15,30,0.0,0.0,0.7029999999999998,0.7029999999999998,0.6673333333333332,0.035666666666666624
amc24,60,gained,1,2,0.0,0.5,1.0,1.0,1.0,0.0
amc24,60,regressed,2,4,0.5,0.0,0.995,0.995,0.99,0.0050000000000000044
amc24,60,retained,25,50,0.78,0.84,0.9250000000000002,0.60625,0.6136363636363636,-0.007386363636363691
amc24,60,still_wrong,17,34,0.0,0.0,0.7070588235294117,0.7070588235294117,0.7005882352941176,0.006470588235294117
amc24,70,gained,3,6,0.0,0.5,0.8166666666666668,0.6666666666666666,0.9816666666666668,-0.31500000000000017
amc24,70,regressed,8,16,0.625,0.0,0.61375,0.61375,0.4916666666666667,0.12208333333333332
amc24,70,retained,19,38,0.8157894736842105,0.868421052631579,0.9868421052631581,0.97,0.8257142857142857,0.14428571428571424
amc24,70,still_wrong,15,30,0.0,0.0,0.7166666666666667,0.7166666666666667,0.6643333333333332,0.052333333333333454
math500,10,gained,2,4,0.0,0.5,0.9750000000000001,0.95,0.75,0.19999999999999996
math500,10,regressed,3,6,0.6666666666666666,0.0,0.8166666666666668,0.8166666666666668,0.5,0.31666666666666676
math500,10,retained,83,166,0.9337349397590361,0.963855421686747,0.9956626506024094,1.0,0.8181818181818182,0.18181818181818177
math500,10,still_wrong,12,24,0.0,0.0,0.7416666666666667,0.7416666666666667,0.74375,-0.002083333333333326
math500,20,gained,1,2,0.0,0.5,1.0,1.0,1.0,0.0
