step,benchmark,correct,bin_lo,bin_hi,count,frac
10,math500,1,0.7000000000000001,0.75,0,0.0
10,math500,1,0.75,0.8,0,0.0
10,math500,1,0.8,0.8500000000000001,0,0.0
10,math500,1,0.8500000000000001,0.9,0,0.0
10,math500,1,0.9,0.9500000000000001,14,0.08641975308641975
10,math500,1,0.9500000000000001,1.0,148,0.9135802469135802
20,aime24,0,0.0,0.05,48,0.5
20,aime24,0,0.05,0.1,0,0.0
20,aime24,0,0.1,0.15000000000000002,0,0.0
20,aime24,0,0.15000000000000002,0.2,0,0.0
20,aime24,0,0.2,0.25,0,0.0
20,aime24,0,0.25,0.30000000000000004,0,0.0
20,aime24,0,0.30000000000000004,0.35000000000000003,0,0.0
20,aime24,0,0.35000000000000003,0.4,0,0.0
20,aime24,0,0.4,0.45,0,0.0
20,aime24,0,0.45,0.5,0,0.0
20,aime24,0,0.5,0.55,0,0.0
20,aime24,0,0.55,0.6000000000000001,0,0.0
20,aime24,0,0.6000000000000001,0.65,0,0.0
20,aime24,0,0.65,0.7000000000000001,0,0.0
20,aime24,0,0.7000000000000001,0.75,0,0.0
20,aime24,0,0.75,0.8,0,0.0
20,aime24,0,0.8,0.8500000000000001,0,0.0
20,aime24,0,0.8500000000000001,0.9,0,0.0
20,aime24,0,0.9,0.9500000000000001,28,0.2916666666666667
20,aime24,0,0.9500000000000001,1.0,20,0.20833333333333334
20,aime24,1,0.0,0.05,0,0.0
20,aime24,1,0.05,0.1,0,0.0
20,aime24,1,0.1,0.15000000000000002,0,0.0
20,aime24,1,0.15000000000000002,0.2,0,0.0
20,aime24,1,0.2,0.25,0,0.0
20,aime24,1,0.25,0.30000000000000004,0,0.0
20,aime24,1,0.30000000000000004,0.35000000000000003,0,0.0
20,aime24,1,0.35000000000000003,0.4,0,0.0
20,aime24,1,0.4,0.45,0,0.0
20,aime24,1,0.45,0.5,0,0.0
20,aime24,1,0.5,0.55,0,0.0
20,aime24,1,0.55,0.6000000000000001,0,0.0
20,aime24,1,0.6000000000000001,0.65,0,0.0
20,aime24,1,0.65,0.7000000000000001,0,0.0
20,aime24,1,0.7000000000000001,0.75,0,0.0
20,aime24,1,0.75,0.8,0,0.0
20,aime24,1,0.8,0.8500000000000001,0,0.0
20,aime24,1,0.8500000000000001,0.9,0,0.0
20,aime24,1,0.9,0.9500000000000001,12,0.5
20,aime24,1,0.9500000000000001,1.0,12,0.5
20,amc24,0,0.0,0.05,12,0.24489795918367346
20,amc24,0,0.05,0.1,0,0.0
20,amc24,0,0.1,0.15000000000000002,0,0.0
20,amc24,0,0.15000000000000002,0.2,0,0.0
20,amc24,0,0.2,0.25,0,0.0
20,amc24,0,0.25,0.30000000000000004,0,0.0
